"expdt","idx","id"
"2022-09-01","BANKNIFTY",169
"2022-09-08","BANKNIFTY",170
"2022-09-15","BANKNIFTY",171
"2022-09-22","BANKNIFTY",172
"2022-09-29","BANKNIFTY",173
"2022-10-06","BANKNIFTY",174
"2022-10-13","BANKNIFTY",175
"2022-10-20","BANKNIFTY",176
"2022-10-27","BANKNIFTY",177
"2022-11-03","BANKNIFTY",178
"2022-11-10","BANKNIFTY",179
"2022-11-17","BANKNIFTY",180
"2022-11-24","BANKNIFTY",181
"2022-12-01","BANKNIFTY",182
"2022-12-08","BANKNIFTY",183
"2022-12-15","BANKNIFTY",184
"2022-12-22","BANKNIFTY",185
"2022-12-29","BANKNIFTY",186
"2023-01-05","BANKNIFTY",187
"2023-01-12","BANKNIFTY",188
"2023-01-19","BANKNIFTY",189
"2023-01-25","BANKNIFTY",190
"2023-02-02","BANKNIFTY",191
"2023-02-09","BANKNIFTY",192
"2023-02-16","BANKNIFTY",193
"2023-02-23","BANKNIFTY",194
"2023-03-02","BANKNIFTY",195
"2023-03-09","BANKNIFTY",196
"2023-03-16","BANKNIFTY",197
"2023-03-23","BANKNIFTY",198
"2023-03-29","BANKNIFTY",199
"2023-04-06","BANKNIFTY",200
"2023-04-13","BANKNIFTY",201
"2023-04-20","BANKNIFTY",202
"2023-04-27","BANKNIFTY",203
"2023-05-04","BANKNIFTY",204
"2023-05-11","BANKNIFTY",205
"2023-05-18","BANKNIFTY",206
"2023-05-25","BANKNIFTY",207
"2023-06-01","BANKNIFTY",208
"2023-06-08","BANKNIFTY",209
"2023-06-15","BANKNIFTY",210
"2023-06-22","BANKNIFTY",211
"2023-06-28","BANKNIFTY",212
"2023-06-29","BANKNIFTY",213
"2023-07-06","BANKNIFTY",214
"2023-07-13","BANKNIFTY",215
"2023-07-20","BANKNIFTY",216
"2023-07-27","BANKNIFTY",217
"2023-08-03","BANKNIFTY",218
"2023-08-10","BANKNIFTY",219
"2023-08-17","BANKNIFTY",220
"2023-08-24","BANKNIFTY",221
"2023-08-31","BANKNIFTY",222
"2023-09-06","BANKNIFTY",223
"2023-09-07","BANKNIFTY",224
"2023-09-13","BANKNIFTY",225
"2023-09-14","BANKNIFTY",226
"2023-09-20","BANKNIFTY",227
"2023-09-21","BANKNIFTY",228
"2023-09-28","BANKNIFTY",229
"2023-10-04","BANKNIFTY",230
"2023-10-05","BANKNIFTY",231
"2023-10-11","BANKNIFTY",232
"2023-10-18","BANKNIFTY",233
"2023-10-26","BANKNIFTY",234
"2023-11-01","BANKNIFTY",235
"2023-11-08","BANKNIFTY",236
"2023-11-15","BANKNIFTY",237
"2023-11-22","BANKNIFTY",238
"2023-11-30","BANKNIFTY",239
"2023-12-06","BANKNIFTY",240
"2023-12-13","BANKNIFTY",241
"2023-12-20","BANKNIFTY",242
"2023-12-28","BANKNIFTY",243
"2024-01-03","BANKNIFTY",244
"2024-01-10","BANKNIFTY",245
"2024-01-17","BANKNIFTY",246
"2024-01-25","BANKNIFTY",247
"2024-01-31","BANKNIFTY",248
"2024-02-07","BANKNIFTY",249
"2024-02-14","BANKNIFTY",250
"2024-02-21","BANKNIFTY",251
"2024-02-29","BANKNIFTY",252
"2024-03-06","BANKNIFTY",253
"2024-03-13","BANKNIFTY",254
"2024-03-20","BANKNIFTY",255
"2024-03-27","BANKNIFTY",256
"2024-03-28","BANKNIFTY",257
"2024-04-03","BANKNIFTY",258
"2024-04-10","BANKNIFTY",259
"2024-04-16","BANKNIFTY",260
"2024-04-24","BANKNIFTY",261
"2024-04-25","BANKNIFTY",262
"2024-04-30","BANKNIFTY",263
"2024-05-08","BANKNIFTY",264
"2024-05-15","BANKNIFTY",265
"2024-05-22","BANKNIFTY",266
"2024-05-29","BANKNIFTY",267
"2024-06-05","BANKNIFTY",268
"2024-06-12","BANKNIFTY",269
"2024-06-26","BANKNIFTY",270
"2024-06-27","BANKNIFTY",271
"2024-07-31","BANKNIFTY",272
"2024-09-25","BANKNIFTY",273
"2024-09-26","BANKNIFTY",274
"2024-12-24","BANKNIFTY",275
"2024-12-26","BANKNIFTY",276
